1000   0.990449   0
2000   1.00429   0.0138445
3000   1.00092   0.00867548
4000   0.999886   0.00622118
5000   1.00652   0.00820153
6000   1.00465   0.00695329
7000   1.00488   0.00588102
8000   1.00662   0.00538333
9000   1.00824   0.00501594
10000   1.00748   0.00454995
11000   1.00626   0.0042938
12000   1.0063   0.00391988
13000   1.0041   0.00422283
14000   1.0038   0.00392125
15000   1.0038   0.00365049
16000   1.00325   0.00345868
17000   1.00244   0.00334872
18000   1.00112   0.00342342
19000   0.999623   0.00356627
20000   0.998186   0.003676
21000   0.997804   0.00351734
22000   0.998079   0.00336493
23000   0.998222   0.00321848
24000   0.998359   0.00308448
25000   0.997879   0.00299715
26000   0.997971   0.00288103
27000   0.999009   0.00296019
28000   0.998408   0.00291505
29000   0.99814   0.00282544
30000   0.998328   0.0027361
31000   0.999203   0.00278701
32000   1.00016   0.0028617
33000   0.999501   0.0028498
34000   0.999268   0.0027745
35000   0.999238   0.00269422
36000   0.999402   0.00262341
37000   0.998589   0.00267796
38000   0.998717   0.0026097
39000   0.99866   0.00254255
40000   0.999067   0.00251137
41000   0.999619   0.0025109
42000   0.999341   0.00246619
43000   0.99956   0.00241816
44000   0.999782   0.00237289
45000   0.999029   0.00243865
46000   0.99868   0.00241045
47000   0.998791   0.00236124
48000   0.999055   0.00232654
49000   0.998543   0.00233546
50000   0.998895   0.00231528
51000   0.999108   0.00227938
52000   0.998905   0.00224435
53000   0.99849   0.00224024
54000   0.998654   0.00220447
55000   0.998797   0.00216873
56000   0.998843   0.00213015
57000   0.998557   0.00211192
58000   0.998605   0.00207573
59000   0.998524   0.00204183
60000   0.998729   0.00201796
61000   0.999093   0.00201762
62000   0.99887   0.00199723
63000   0.99852   0.00199625
64000   0.998481   0.0019652
65000   0.998484   0.00193473
66000   0.99844   0.00190571
67000   0.998798   0.00191097
68000   0.998914   0.00188626
69000   0.998857   0.00185961
70000   0.998924   0.00183406
71000   0.998525   0.00185146
72000   0.998368   0.00183228
73000   0.998328   0.00180744
74000   0.99807   0.00180144
75000   0.998316   0.00179419
76000   0.998163   0.00177709
77000   0.997823   0.00178647
78000   0.997896   0.00176493
79000   0.997833   0.00174358
80000   0.997723   0.00172513
81000   0.997725   0.0017037
82000   0.997584   0.0016887
83000   0.997662   0.00167006
84000   0.997373   0.00167516
85000   0.997459   0.00165757
86000   0.997393   0.00163949
87000   0.997277   0.00162469
88000   0.997323   0.00160678
89000   0.997415   0.0015913
90000   0.997853   0.00163332
91000   0.99751   0.00165131
92000   0.997553   0.00163382
93000   0.997402   0.00162316
94000   0.997488   0.00160808
95000   0.997   0.0016642
96000   0.997078   0.00164862
97000   0.996857   0.00164645
98000   0.996983   0.00163441
99000   0.996903   0.00161979
100000   0.996756   0.00161026
