-2.32885   4.95746
2.31144   -4.96561
-4.00407   -3.7373
-4.64982   2.89467
0.716416   5.43017
1.93999   -5.12215
-4.56852   3.02136
1.89873   5.13759
5.25646   1.53937
-4.09074   -3.64223
5.19537   1.7344
-2.20108   5.0155
-3.7017   4.03701
-5.07534   -2.05935
2.4224   -4.91243
-5.32566   -1.27957
5.33675   1.23253
2.34486   -4.94991
2.9134   4.63811
-2.21068   -5.01127
2.15972   -5.03345
-4.20828   -3.50576
5.46392   -0.381511
-2.96787   4.60345
-4.26418   -3.43755
3.56   4.1625
-5.40731   -0.872381
2.41048   4.91829
-0.787316   5.42034
-3.06401   4.54003
